what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.3.1.20130219-1424,"org.eclipse.m2e.discovery",1408888746239
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1408888746239
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1408888746239
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1408888746239
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1408888746239
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1408888746239
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1408888746239
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1408888746239
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1408888746240
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1408888746240
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1408888746240
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1408888746241
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1408888746241
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1408888746242
started,bundle,tern.eclipse.ide.core,0.1.0.201404060858,"tern.eclipse.ide.core",1408888746242
started,bundle,tern.eclipse.ide.jsdt,0.1.0.201404060858,"tern.eclipse.ide.jsdt",1408888746243
started,bundle,tern.server.nodejs,0.1.0.201404060858,"tern.server.nodejs",1408888746243
started,bundle,oracle.eclipse.tools.glassfish,4.2.1.201201241947,"oracle.eclipse.tools.glassfish",1408888746243
started,bundle,org.jboss.ide.eclipse.as.core,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.core",1408888746244
started,bundle,org.jboss.ide.eclipse.as.ui,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.as.ui",1408888746244
os,sysinfo,,,"win32",1408888746247
arch,sysinfo,,,"x86_64",1408888746247
ws,sysinfo,,,"win32",1408888746247
locale,sysinfo,,,"en_US",1408888746247
processors,sysinfo,,,"4",1408888746248
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1408888746248
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1408888746248
java.specification.name,sysinfo,,,"Java Platform API Specification",1408888746248
java.specification.vendor,sysinfo,,,"Oracle Corporation",1408888746248
java.specification.version,sysinfo,,,"1.7",1408888746248
java.vendor,sysinfo,,,"Oracle Corporation",1408888746248
java.version,sysinfo,,,"1.7.0_04",1408888746248
java.vm.info,sysinfo,,,"mixed mode",1408888746248
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1408888746248
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1408888746248
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1408888746248
java.vm.specification.version,sysinfo,,,"1.7",1408888746248
java.vm.vendor,sysinfo,,,"Oracle Corporation",1408888746248
java.vm.version,sysinfo,,,"23.0-b21",1408888746248
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1408888749804
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1408888749818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888752225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888753187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888753545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888754254
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1408888756055
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1408888756097
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1408888756142
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1408888759109
started,bundle,org.jboss.ide.eclipse.archives.core,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.core",1408888759128
started,bundle,org.jboss.ide.eclipse.archives.ui,3.3.1.v20130102-1730-H94-Final,"org.jboss.ide.eclipse.archives.ui",1408888759131
started,bundle,org.jboss.tools.jmx.core,1.3.1.v20130102-1732-H80-Final,"org.jboss.tools.jmx.core",1408888759194
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.3.2.v20130112-0201-H153-Final,"org.jboss.ide.eclipse.archives.webtools",1408888759374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888764227
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1408888788667
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1408888788672
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1408888788682
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1408888788695
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1408888788718
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1408888788724
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1408888788794
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1408888788838
started,bundle,org.eclipse.jst.common.frameworks,1.1.501.v201201190400,"org.eclipse.jst.common.frameworks",1408888788853
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1408888788944
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1408888788985
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1408888789006
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1408888789622
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1408888789636
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1408888790010
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1408888790027
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1408888790383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408888790454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1408888790508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1408888790508
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1408888790538
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1408888790539
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1408888790629
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1408888790700
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1408888791003
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1408888791331
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1408888791344
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1408888791449
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1408888791455
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1408888791457
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1408888791474
